ID;skos:notation;skos:topConcept;skos:inScheme;skos:narrower;skos:broader;skos:prefLabel;skos:altLabel;skos:scopeNote;skos:note;skos:editorialNote
01;a;topConcept;;;;Bücher zur Ausleihe;;;Die mit « a » bezeichneten Bücher können bei der Aufsicht für 3 Wochen ausgeliehen werden. Wir benötigen den Nachweis, dass Sie am IDSL I oder IDSL II studieren, sowie den Personalausweis bzw. Reisepass + Meldebescheinigung. Es wird eine Stammkarte ausgefüllt, die für ein Semester gilt. Für jedes einzelne Buch muss ein Leihschein ausgefüllt und unterschrieben werden. (Für mittelhochdeutsche und althochdeutsche Wörterbücher und Grammatiken gibt es eine Semesterausleihe.) Eine Verlängerung ist nur zweimal möglich. Wer die Bücher nicht rechtzeitig zurückgibt, wird ein Semester lang für die Ausleihe gesperrt.;
02;A;topConcept;;;;Anthologien;;;;
03;AK;topConcept;;AK1, AK2, AK3, AK4, AK5, AK6;;Germanistische Altertumskunde;;;;
04;AK1;;ja;;AK;Allgemeine germanische Altertumskunde;;;;
05;AK2;;ja;;AK;Vor-, Ur- und Frühgeschichte germanischer Völker und Landschaften;;;;
06;AK3;;ja;;AK;Runenkunde;;;;
07;AK4;;ja;;AK;Kulturgeschichte (Germanistische Altertumskunde);Kulturgeschichte;;;Disambiguierung des prefLabel durch Angabe der 1. Hierarchieebene
08;AK5;;ja;;AK;Religionswissenschaft (Germanistische Altertumskunde);Religionswissenschaft;;;Disambiguierung des prefLabel durch Angabe der 1. Hierarchieebene
09;AK6;;ja;;AK;Rechtsgeschichte;;;;
10;AT;topConcept;;AT1, AT2, AT3, AT3.1, AT4;;Ältere Texte (Ältere deutsche Literatur ) : Literatur bis 1500;;;;
11;AT1;;ja;;AT;Serien (Ältere Texte);Serien;;;Disambiguierung des prefLabel durch Angabe der 1. Hierarchieebene
12;AT2;;ja;;AT;Einzeltexte;;;;
13;AT3;;ja;;AT;Literaturgeschichte Mittelalter (Antike bis Spätmittelalter) bis Erscheinungsjahr 1999;;;;
14;AT3.1;;ja;;AT;Literaturgeschichte Mittelalter (Antike bis Spätmittelalter) ab Erscheinungsjahr 2000;;;;
15;AT4;;ja;;AT;Drama des Mittelalters;;;;
16;D;topConcept;;;;Dissertationen (alte Dissertationen und dünne Schriften);;;;
17;Du;topConcept;;;;Deutschunterricht;;Theorie und Praxis des Deutschunterrichts (Schule und Hochschule) // Lese- und Sprachbücher // Richtlinien, Lehrpläne, Studienordnungen und verbindliche Curricula;;
18;E;topConcept;;;;Nachschlagewerke;;Allgemeine Lexika // Lexika zu einzelnen Fachgebieten // Handbücher, Biographische Nachschlagewerke // Bibliographien // Handschriftenverzeichnisse // Verzeichnisse wissenschaftlicher Institutionen und Gesellschaften // Nachschlagewerke zur Weltliteratur // Deutsche Dichterlexika // Studienführer;;
19;FT;topConcept;;;;Fremdsprachige Texte / Texte fremdsprachiger Autor*innen;;Unter diese Kategorie fällt ausländische Literatur. Auch Autor*innen der Migrant*innenliteratur sind hier nach ihren Geburtsländern versammelt.;;
20;GT;topConcept;;GT1, GT2;;Graphische Texte;;Graphic Novels / überwiegend deutschsprachiger Autor*innen, Sammelbände, Anthologien;;Laut Bibliothekarin im IDSL1 beschreibt GT als Oberbegriff die Inhalte der Signaturengruppe.
21;GT1;;ja;;GT;Werke von Autor*innen bis Geburtsjahr 1979;;;;
22;GT2;;ja;;GT;Werke von Autor*innen ab Geburtsjahr 1980;;;;
23;H;topConcept;;Ha, Hb, Hc, Hd, He, Hf, Hg, Hh, Hi, Hk, Hm, Hn, Ho, Hp, Hr, Hs;;"""Hilfswissenschaften"" = Nachbardisziplinen";;;;
24;Ha;;ja;;H;Geschichte;;;;
25;Hb;;ja;;H;Kulturgeschichte;;;;
26;Hc;;ja;;H;Psychologie;;;;
27;Hd;;ja;;H;Pädagogik;;;;
28;He;;ja;;H;Soziologie;;;;
29;Hf;;ja;;H;Philosophie;;;;
30;Hg;;ja;;H;Religionswissenschaft;;;;
31;Hh;;ja;;H;Kunstgeschichte;;;;
32;Hi;;ja;;H;Musik;;;;
33;Hk;;ja;;H;Theater, Tanz und Film;;;;
34;Hm;;ja;;H;Buchwesen, Medien, Presse, Kommunikation;;;;
35;Hn;;ja;;H;Universitäten;;;;
36;Ho;;ja;;H;Judaica, Jüdische Geschichte, Antisemitismus;;;;
37;Hp;;ja;;H;Gender;;;;
38;Hr;;ja;;H;Naturwissenschaft, Mathematik und Technik;;;;
39;Hs;;ja;;H;Rechtswissenschaft und Wirtschaftswissenschaften;;;;Schreibfehler korrigiert
40;K;topConcept;;;;Philologie und Literaturwissenschaft;;Methodik der Philologie, wissenschaftliches Arbeiten // Methodik und Theorie der Literaturwissenschaft, Literaturkritik, Komparatistik, Intertextualität // Geschichte der Literaturwissenschaft und Philologie // Sammelwerke / Festschriften // Kongressberichte, Symposien;;
41;L;topConcept;;;;Literaturgeschichte;;Deutsche Literaturgeschichte (Gesamtdarstellungen) // Literaturgeschichte einzelner deutscher Städte, Regionen und Völker // Deutsche Literaturgeschichte einzelner Epochen // Gattungsgeschichte // Problem-, Stoff-, Motiv- und Wirkungsgeschichte // Geschichte der Weltliteratur // Ausländische Literaturgeschichte;;
42;M;topConcept;;;;Ästhetik, Poetik, Stilistik;;Allgemeine Ästhetik // Poetik // Verslehre // Stilistik, Übersetzungstheorie // Rhetorik, Kommunikation, Gespräch // Kreatives Schreiben, Selbstausdruck, Schreibwerkstätten;;
43;Ma;topConcept;;;;Bibel, Patristik, Theologie, Allgemeine Bedeutungskunde;;Bibelausgaben, Apokryphen // Konkordanzen, Bibliographien, Handbücher und Nachschlagewerke // Dogmatik, Dogmengeschichte // Liturgiewissenschaft // Hymnologie // Theologische Texte und kultische Texte wie Meßbücher, Ordensregeln, Beichten, Lieder- und Andachtsbücher // Bibliographien zur Bedeutungskunde // Wörterbücher u.ä. zur Bedeutungskunde // Allgemeines zur Bedeutungskunde // Ereignisbedeutung: Typologie, Gebärden // Dingbedeutung: Enzyklopädische Werke und Verwandtes, Tiere (Bestiarien), Pflanzen (Herbarien), Personifikationen, Mythologische Figuren u.ä., Steine (Lapidarien), Farben, Zahlen, Architektur, andere Dinge als Bedeutungsträger // Heraldik, Emblematik, Metaphorik, Etymologie, Allegorese antiker Dichtung, Bibelkommentare und Verwandtes, Nachschlagewerke zur Bedeutungskunde // Christliche Kunst;;
44;NT;topConcept;;NT1, NT2, NT3, NT4, NT5, NT6, NT7, NT8, NT9, NT10, NT11, NT12;;Neuere Texte (Autor*innen ab dem Geburtsjahr 1500);;Maßgeblich für die Einordnung in die einzelnen Gruppen ist der Name und das Geburtsjahr der Autor*innen;;
